name,lat,lon,population,alternate_names
Bremen,53.07582,8.80717,546501,"BRE,Brehmehn,Brehmen,Brema,Breme,Bremen,Bremen hiria,Bremenas,Bremene,Bremeni,Bremeno,Bremy,Brèma,Bréma,Brémy,Brémén,Brême,Brēmene,Brėmenas,Byen Bremen,ber mein,beulemen,biremeni,bremana,bremena,bremeni,brmn,brymn,bu lai mei,buremen,mdynt brymn,Βρέμη,Бремен,Брэмен,Брэмэн,Բրեմեն,ברמן,برمن,بريمن,بریمن,مدينة بريمن,ब्रेमन,ब्रेमेन,ব্রেমেন,ਬ੍ਰੇਮਨ,เบรเมิน,ဘရီမန်မြို့,ბრემენი,ብሬመን,ブレーメン,不来梅,브레멘,𐌱𐍂𐌴𐌼𐌴𐌽"
Nürnberg,49.45421,11.07752,515543,"NUE,Neurenberch,Neurenberg,Niamberg,Nirnberg,Nirnberga,Niurnbergas,Njurnberg,Norimberg,Norimberga,Norimberk,Norimbèrga,Norymberga,Nuernbarg,Nuernberg,Nuernberq,Nuremberg,Nuremberga,Nurembergo,Nuremburg,Nurembèrg,Nurenberg,Nurenbergo,Nurenburg,Nurnberg,Nyremberg,Nyremberge,Nyremvergi,Nyrëmberg,Nyurnberg,Nyurnbérg,Núremberg,Nürnbarg,Nürnberg,Nürnberq,n'yurnabarga,niu lun bao,niurnbergi,niyuramperk,nurem beirk,nwileunbeleukeu,nwrnbrg,nwrnbyrgh,nyrnbrg,nyurunberuku,nywrmbrg,Νυρεμβέργη,Νυρεμβεργη,Нирнберг,Нюрнберг,Нӳрнберг,נירנבערג,נירנברג,نورنبرگ,نورنبيرغ,نۆریمبێرگ,نیورمبرگ,न्युर्नबर्ग,நியூரம்பெர்க்,นูเรมเบิร์ก,เนือร์นแบร์ก,ნიურნბერგი,ニュルンベルク,纽伦堡,뉘른베르크"
Hannover,52.37052,9.73322,515140,"Annobero,Gannovehr,Gannover,Ganover,HAJ,Hannauver,Hannober,Hannova,Hannover,Hannovera,Hannovere,Hannower,Hannóver,Hanobhar,Hanofer,Hanofér,Hanover,Hanoveri,Hanoveris,Hanovra,Hanovre,Hanovro,Hanower,Hanowery,Hanóver,Hanôver,Honovere,Hànobhar,IHanoveri,Khannover,Khanover,hainovara,han no wexr,han nuo wei,hanobeo,hanofa,hanophara,hanovara,hanoveri,hanwfr,hnwbr,Αννόβερο,Ганновер,Ганновэр,Гановер,Ханновер,Хановер,Հաննովեր,האנאווער,הנובר,هانوفر,ھانۆفەر,ہnwwr,ہنوور,ہینوور,हानोफर,हैनोवर,হানোফার,ਹਾਨੋਵਰ,ฮันโนเวอร์,ჰანოვერი,ሃኖቨር,ハノーファー,汉诺威,漢諾威,하노버"
Leipzig,51.33962,12.37129,504971,"LEJ,Laeipcig,Lajpcig,Lajpcigu,Lajpcik,Laypʻcʻik,Leipciga,Leipcigas,Leipsia,Leipzig,Lejpcig,Lejpcyg,Leypsiq,Leypzig,Lipcse,Lipekika,Lipsca,Lipsia,Lipsk,Lipsko,Läipcig,Léypzig,Lípsia,la'ipajhisa,la'ipasisa,lai bi xi,laipcik,laipeuchihi,laiptsigi,laybzygh,laypzsh,laypzyg,lip sik,lipajiga,liph sik,lypzsh,lyypzyg,raiputsuihi,Λειψία,Лайпциг,Лајпциг,Лейпциг,Лейпцыг,Լայպցիգ,Լայփցիկ,לייפציג,لائپزش,لايبزيغ,لایپزیگ,لیپزش,लाइपझिश,लिपजिग,লাইপ্‌ৎসিশ,ਲਾਈਪਸਿਸ਼,லைப்சிக்,ไลป์ซิก,ไลพ์ซิก,လိုက်ပဆစ်မြို့,ლაიფციგი,ላይፕጽግ,ライプツィヒ,莱比锡,萊比錫,라이프치히"
Duisburg,51.43247,6.76516,504358,"DUI,Disburga,Duisboerj,Duisborg,Duisbourg,Duisburch,Duisburg,Duisburg and Hamborn,Duisburg-Hamborn,Duisburgas,Duisburgo,Duisbörj,Duizburg,Dujsburg,Duusboerg,Duusbörg,Duysburg,Dīsburga,Ntouismpournk,Thuiscoburgum,deyusuburuku,du sburk,du yi si bao,du'isaburga,duisburgi,dwiseubuleukeu,dwysbwrg,dwysbwrgh,dysbwrg,Ντούισμπουργκ,Дуизбург,Дуйсбург,Дујсбург,Դույսբուրգ,דיסבורג,دويسبورغ,دویسبورگ,ڈوئسبرگ,ڈیسبورگ,डुइसबुर्ग,ดืสบูร์ก,დუისბურგი,ዱይስቡርግ፣ ጀርመን,デュースブルク,杜伊斯堡,뒤스부르크"
Wandsbek,53.58334,10.08305,411422,"Hamburg-Wandsbek,Vandsbek,Wandsbek,Вандсбек"
Bochum,51.48165,7.21648,385729,"Baukem,Bochoum,Bochum,Bochumas,Bohuma,Bokhem,Bokhum,Bōkhêm,QBO,bo hong,bo khum,bofumu,bohum,bokhuma,bokhumi,bwkhm,bwkhwm,bwkwm,Μπόχουμ,Бохум,בוכום,بوخم,بوخوم,बोखुम,โบคุม,ბოხუმი,ボーフム,波鸿,보훔"
Wuppertal,51.25627,7.14816,360797,"Boupertal,UWP,Vupertal,Vupertal',Vupertale,Vupertalis,Vupertāle,Vuppertal,Vuppertal',Wupperdaal,Wuppertal,bupeotal,fwbrtal,vupartala,vuppataru,wu po ta er,wuph phe xrthal,wwprtal,wwprtl,Βούπερταλ,Вупертал,Вуперталь,Вупперталь,Վուպերտալ,וופרטל,فوبرتال,ووپاٹال,ووپرتال,وپرٹال,वुपर्टाल,วุพเพอร์ทัล,ვუპერტალი,ヴッパータール,伍珀塔尔,부퍼탈"
Bielefeld,52.03333,8.53333,331906,"BFE,Bielefeld,Bilefel'd,Bilefeld,Bilefelde,Bilifeld,Bilivelda,Builefeld,Bylefeldas,Bīlefelde,Bīlifeld,Mpilephelnt,bi lei fei er de,bilephelda,bilepildi,billepelteu,bireferuto,bylyfyld,Μπίλεφελντ,Билефелд,Билефельд,Білефельд,بيليفيلد,بیلفیلڈ,بیله‌فلد,बीलेफेल्ड,ბილეფილდი,ビーレフェルト,比勒费尔德,빌레펠트"
Bonn,50.73438,7.09549,330579,"BNJ,Bon,Bona,Boni,Bonn,Bonna,Bono,Vonni,bn,bo en,bon,bona,boni,bwn,bxnn,Βόννη,Бон,Бонн,באן,בון,بن,بون,बॉन,บอนน์,བྷོ་ཨིན།,ბონი,ボン,波恩,본"
Hamburg-Nord,53.58935,9.984,315514,"Arrondissement de Hambourg-Nord,Bezirk Hamburg-Nord,Distretto di Hamburg-Nord,Hamborg-Noord,Hamburgo-Norte,Hamburgum Septentrionale,Khamburg-Nord,han bao bei qu,Хамбург-Норд,汉堡北区"
Mannheim,49.4891,8.46694,307960,"MHG,Man'chaim,Man'geym,Man'géym,Mangejm,Manhajmi,Manheima,Manheimas,Manhejmo,Manhemium,Mankhajm,Mannheim,Monnem,man hai mu,man him,manaha'ima,manhaim,manhaimi,manhaimu,manhaym,mnhyym,Μάνχαϊμ,Мангейм,Манхайм,Манхајм,מנהיים,مانهايم,مانهایم,मानहाइम,มันไฮม์,მანჰაიმი,ማንሃይም,マンハイム,曼海姆,만하임"
Hamburg-Mitte,53.55,10.01667,301231,"Arrondissement de Hambourg-Mitte,Bezirk Hamburg-Mitte,Distretto di Hamburg-Mitte,Hamborg-Mitt,Hamburg-Centru,Hamburg-Mitte,Hamburgo-Centro,Hamburgum Media Urbs,Khamburg-Mite,han bao zhong qu,Хамбург-Мите,汉堡中区"
Marienthal,53.56667,10.08333,287101,Hamburg-Marienthal
Karlsruhe,49.00937,8.40444,283799,"Carlsruhe,Carolsruha,FKB,Kallsruh,Karlsroue,Karlsrue,Karlsrueh,Karlsruhe,Karlsruje,Karlsrūe,Karlsrūjė,ka er si lu e,kaleulseulue,karlsaruha,karlsrwh,karlsrwhh,karusurue,qrlsrwhh,Καρλσρούη,Карлсруе,Карлсруэ,קרלסרוהה,كارلسروه,کارلزروہے محل,کارلسروهه,कार्ल्सरूह,კარლსრუე,カールスルーエ,卡尔斯鲁厄,카를스루에"
Wiesbaden,50.08601,8.24435,278609,"Aquae Mattiacae,Aquae Mattiacorum,Aquae Matticae,Uisibada,Visbadehn,Visbaden,Visbadene,Vizmpanten,Vysbadenas,Vīsbādene,WIE,Wiasban,Wiasbån,Wiesbaden,Wisibada,Wissbade,bhisabadena,biseubaden,fysbadn,visabadena,visabaidana,visbadeni,vuisubaden,wayzbadn,wei si ba deng,wi sba dein,wisibadeni,wysbadn,wysbyڈn,wysbyډn,Βιζμπάντεν,Висбаден,Вісбаден,Вісбадэн,Վիսբադեն,וויסבאדן,ויסבאדן,فيسبادن,وائزبادن,ویسبادن,ویسبیڈن,ویسبیډن,विसबैडन,वीसबाडेन,ভিসবাডেন,ਵਿਸਬਾਡੇਨ,วีสบาเดิน,ვისბადენი,ዊስባደን,ヴィースバーデン,威斯巴登,비스바덴"
Münster,51.96236,7.62571,270184,"FMO,Minster,Minstere,Miunsteris,Mjunstehr,Mjunster,Moenster,Monasterium,Muenster,Muenster / Nordrhein-Westf.,Munistri,Munster,Mynster,Mönster,Münster,Münster / Nordrhein-Westf.,ming si te,mwinseuteo,mwnstr,mynstr,myunsuta,Μύνστερ,Минстер,Мюнстер,Мюнстэр,מינסטר,مونستر,მიუნსტერი,ミュンスター,明斯特,뮌스터"
Gelsenkirchen,51.50508,7.09654,270028,"Gel'zenkirkhen,Gelsenkiaerken,Gelsenkirchen,Gelsenkiärken,Gelzenkirchenas,Gelzenkirhene,Gelzenkirheni,Gelzenkirkhen,Helzenkirxen,Nkelzen'kirchen,ZEJ,gai er sen ji xing,geljenkileuhen,gelsanakarsana,geruzenkiruhyen,ghylsnkyrshn,glsnkrchn,glznkyrshn,glznqyrkn,kel sen kheiyr khein,Γκελζενκίρχεν,Гелзенкирхен,Гельзенкирхен,Гельзенкірхен,גלזנקירכן,غيلسنكيرشن,گلزنکیرشن,گلسنکرچن,गेल्सनकर्शन,เกลเซนเคียร์เคิน,გელზენკირხენი,ゲルゼンキルヒェン,盖尔森基兴,겔젠키르헨"
Eimsbüttel,53.57416,9.95679,269118,"Ajmsbitel,Ajmsbjuttel',Bezirk Eimsbuettel,Bezirk Eimsbüttel,Distretto di Eimsbuettel,Distretto di Eimsbüttel,Eimbueddel,Eimbüddel,Eimsbuettel,Eimsbüttel,Hambourg-Eimsbuettel,Hambourg-Eimsbüttel,Hamburg-Eimsbuettel,Hamburg-Eimsbüttel,ai mu si bi te er qu,Аймсбюттель,Ајмсбител,艾姆斯比特尔区"
Aachen,50.77664,6.08342,265208,"AAH,Aachen,Aakhen,Aaxen,Achen,Achenas,Ahene,Aix-la-Chapelle,Aken,Akhen,Akisgran,Akwizgran,Aoke,Aquae Grani,Aquisgra,Aquisgran,Aquisgrana,Aquisgrano,Aquisgranum,Aquisgrao,Aquisgrà,Aquisgrán,Aquisgrão,Axhe,Axin,Axın,Cachy,Cáchy,Kreisfreie Stadt Aachen,Lungsod ng Aachen,Oche,Oochen,a chen,aakheni,achn,ahen,ahkan,akhana,akhn,xa khein,ya chen,Åxhe,Āhene,Άαχεν,Аахен,Ахен,Աախեն,אאכן,آخن,آچن,आखन,ஆஃகன்,ആക്കൻ,อาเคิน,აახენი,アーヘン,亚琛,阿臣,아헨"
Mönchengladbach,51.18539,6.44172,261742,"Jlabbach,M'onkhengladbakh,MGL,Men'chen'nklantmpach,Menchengladbachas,Menhengladbaha,Menkhengladbakh,Mjonkhengladbakh,Moenchengladbach,Monchengladbach,Muenchen-Gladbach,Mönchengladbach,mein chen klad bakh,men xing ge la de ba he,menhyenguratobahha,menkhengladbakhi,mnsngldbk,moenhengeullateubaheu,mwnshnghladbakh,myonsanagladabakha,Μενχενγκλάντμπαχ,Менхенгладбах,Мьонхенгладбах,Мёнхенгладбах,מנשנגלדבך,مونشنغلادباخ,مونشن‌گلادباخ,म्योन्शनग्लाडबाख,เมินเชนกลัดบัค,მენხენგლადბახი,メンヒェングラートバッハ,门兴格拉德巴赫,묀헨글라트바흐"
Augsburg,48.37154,10.89851,259196,"AGY,Agsborg,Aounksmpournk,Augsberg,Augsboerj,Augsborg,Augsbourg,Augsburg,Augsburg-Innenstadt,Augsburga,Augsburgas,Augsburgo,Augsbörj,Augschburg,Augusta,Augusta Vindelicorum,Augzburg,Auqsburq,a'ugsaburga,agzbrg,ao ge si bao,aucupurku,augsburga,augsburgi,augusuburuku,aukeuseubuleukeu,aukusuburuku,awghsbwrgh,awgsbwrg,xea k sburk,Ágsborg,Άουγκσμπουργκ,Аугзбург,Аугсбург,Аўгсбург,אאוגסבורג,آوغسبورغ,آوگسبورگ,اگزبرگ,आउग्सबुर्ग,औग्स्बुर्ग,আউগ্‌সবুর্গ,ஔசுபூர்கு,เอาก์สบูร์ก,აუგსბურგი,アウクスブルク,アウグスブルク,奥格斯堡,아우크스부르크"
Altona,53.55,9.93333,250192,"Al'tona,Altno,Altona,Arrondissement dAltona,Bezirk Altona,Distretto di Altona,Districte dAltona,Hamburg-Altona,Hamburgo-Altona,a er tuo na qu,altwna  hambwrg,hanburuku=arutona,Алтона,Альтона,אלטונה,التونا، هامبورگ,ハンブルク＝アルトナ,阿尔托纳区"
Chemnitz,50.8357,12.92922,247220,"Chemnicas,Chemnicium,Chemnitz,Hemnica,Kamenica,Kamjenica,Karl-Marx-Stadt,Kemnic,Kemnits,Khemnic,Saska Kamenice,Saská Kamenice,ZTZ,chymntz,kai mu ni ci,kemnicheu,kemunittsu,khe mniths,kmnytz,kymnts,qmnyz,Κέμνιτς,Кемниц,Хемниц,Хемніц,קמניץ,קעמניץ,كيمنتس,چیمنتز,کمنیتز,เคมนิทซ์,კემნიცი,ケムニッツ,开姆尼茨,켐니츠"
Kiel,54.32133,10.13489,246601,"KEL,Kiel,Kielia,Kielo,Kil,Kil',Kile,Kilo,Kilonia,Kyle,Kylis,Kíl,ji er,khil,ki'ela,kil,kila,kiru,kiል,kyl,qyl,Ķīle,Κίελο,Кил,Киль,Кіль,Քիլ,קיל,كيل,کیل,किएल,कील,কিল,ਕੀਲ,คีล,კილი,ኪል,キール,基尔,킬"
Braunschweig,52.26594,10.52673,244715,"BWE,Braounsvaich,Braunschweig,Braunshvajg,Braunshvejg,Braunshweyg,Braunshwéyg,Braunsveiga,Braunsveigas,Braunšveiga,Braunšveigas,Bronswiek,Brunsvicum,Brunsvik,Brunswick,Brunswik,Brunswyck,Brunswyk,Brunszwik,Brunšwik,Brúnsvík,beulaunsyubaikeu,bra'unasva'iga,branjavika,branshwyg,braunshvaigi,brawnshfaygh,brawnshwayg,bu lun rui ke,buraunshuvuaiku,Μπράουνσβαϊχ,Брауншвайг,Брауншвајг,Брауншвейг,Браўншвейг,בראונשווייג,برانشویگ,براونشفايغ,براونشوایگ,ब्रंजविक,ब्राउनश्वाइग,ბრაუნშვაიგი,ブラウンシュヴァイク,不伦瑞克,브라운슈바이크"
Krefeld,51.33645,6.55381,237984,"Crefeld,Krefel'd,Krefeld,Krefeld-Uerdingen,Krefeldas,Krefelde,Krefelnt,Krehfel'd,Krieevel,Krievel,Krēfelde,Krėfeldas,QKF,ke lei fei er de,keulepelteu,kher fel d,krfld,kryfld,kureferuto,qrpld,Κρέφελντ,Крефелд,Крефельд,Крэфельд,Կրեֆելդ,קרפלד,كريفلد,کرفلد,کریفیلڈ,เครเฟลด์,კრეფელდი,クレフェルト,クレーフェルト,克雷费尔德,크레펠트"
Halle (Saale),51.48158,11.97947,237865,"Galle,Halle,Halle (Saale),Halle / Sachsen-Anhalt,Halle an der Saale,Halle sul Saale,Halle-on-the-Saale,Khale,hale,halh,hare,Галле,Хале,هاله,ჰალე,ハレ"
Magdeburg,52.13129,11.63189,235775,"CSO,Dzewin,Dźěwin,Maagdenburg,Madeborch,Magathaburg [a. 936],Magdeboerj,Magdeborg,Magdeborgh,Magdebourg,Magdebourgo,Magdebuag,Magdeburg,Magdeburga,Magdeburgas,Magdeburgh,Magdeburgo,Magdeburgu,Magdeburgum,Magdeburk,Magdebörj,Magdehburg,Makekepuka,Maqdeburq,Meideborg,Meyburch [a. 1275],ma ge de bao,magadeburga,magdbwrg,magdeburgi,mageudebuleukeu,maghdybwrgh,maigadebaraga,mak de bur k,makdeburga,makudeburuku,maግdeberiግ,mgdbwrg,myagadebarga,mygdybrg,myګdybrګ,Μαγδεβούργο,Магдебург,Магдэбург,מגדבורג,ماغديبورغ,ماگدبورگ,مگڈیبرگ,میګدیبرګ,میگدیبرگ,माक्देबुर्ग,मागदेबुर्ग,ম্যাগডেবার্গ,ਮੈਗਡੇਬਰਗ,มักเดบูร์ก,მაგდებურგი,ማግደበርግ,マクデブルク,马格德堡,마그데부르크"
Neue Neustadt,52.15,11.63333,226851,"Hieronymusstadt,Magdeburg-Neustadt,Neue Neustadt,Nojshtadt,Нойштадт"
Oberhausen,51.47805,6.8625,219176,"Obergauzen,Oberhausen,Oberhauzen,Oberhauzenas,Oberhauzene,Oberkhauzen,Omperchaouzen,Overhus,ZOY,ao bo hao sen,awbrhawzn,obahauzen,obeohaujen,oberhauzeni,Ομπερχάουζεν,Обергаузен,Оберхаузен,אוברהאוזן,أوبرهاوزن,اوبرهاوزن,ობერჰაუზენი,オーバーハウゼン,奥伯豪森,오버하우젠"
Mainz,49.98185,8.28008,217123,"Maeaenz,Maganza,Magontia,Magonza,Maguncia,Maguntzia,Magunza,Magúncia,Maianca,Maiança,Maienta,Maiența,Mainc,Mainca,Maincas,Maints,Mainz,Majenco,Majnc,Majnci,Mayence,Mayns,Meenz,Meginsborg,Ments,Mogontiacum,Moguncia,Moguncja,Moguntiacum,Mogúncia,Mohuc,Mohuč,Määnz,ma'intaja,ma'intsa,mainaza,maincheu,maintsi,maintsu,mainza,maynts,maynz,mei yin ci,mins,mynz,myynz,Μάιντς,Майнц,Мајнц,מיינץ,مائنز,ماينتس,ماینتس,مینز,माइंत्स,मैंज़,মাইন্টজ,ਮੈਨਜ਼,ไมนซ์,მაინცი,ማይንጽ,マインツ,美因茨,마인츠"
